cluster_id,phrase,term
19,Humphrey Bogart,wife
19,Jack Nicholson,pieces
19,James Bond,roger
19,John Wayne,true
19,Katharine Hepburn,oscars
19,King Kong,beast
19,Matt Damon,good
19,Matt Damon,pizza
19,Mel Gibson,mad
19,Mel Gibson,weapon
19,Paul Newman,cassidy
19,Robert Redford,film festival
19,Shakespeare,joseph
19,Star Wars,george
19,The Godfather,don
19,Tom Cruise,mission
19,Will Smith,fresh
19,Will Smith,men
19,Woody Allen,director's
21,Charlemagne,frankish
21,Henry VIII,catherine
21,Isabella I of Castile,joan
21,Julius Caesar,invaded
21,Julius Caesar,leader
21,Louis XIV,french king
21,Louis XVI,execution
21,Mary,scottish
21,Mongol,warriors
21,Peter the Great,russia's
21,Queen Victoria,albert's
21,Scotland,robert
22,Brazil,basin
22,Brazil,nut
22,Caesar salad,lettuce
22,Denmark,ix
22,Italy,countries
22,Italy,wines
22,Japan,beef
22,Kraft,company's
22,London,steak
22,Mexico,brewed
22,Mexico,cow's
22,New Orleans,southern city
22,New York,state's
22,Parmesan,true
22,Spain,country's
22,Wisconsin,dairy
23,Bizet,composer's opera
23,Bizet,honor
23,Brahms,asleep
23,Brahms,falling
23,Carmen,bizet's
23,Chopin,polish
23,Claude Debussy,lune
23,Claude Debussy,prelude
23,Edvard Grieg,norway
23,Franz Liszt,piano
23,George Gershwin,bess
23,George Gershwin,blue
23,Handel,hallelujah
23,Handel,oratorios
23,Messiah,oratorios
23,Metropolitan Opera,company's
23,Nikolai Rimsky-Korsakov,flight
23,Pagliacci,clowns
23,Prokofiev,peter
23,Prokofiev,stone
23,Richard Strauss,spake
23,Stravinsky,spring
23,Swan Lake,prince
23,Vienna,capital
23,Vivaldi,concerto
23,Vivaldi,ordained
24,Apollo,greek god
24,Ares,greek god
24,Artemis,apollo's
24,Cleopatra,egypt
24,Hades,place
24,Hercules,cleaning
24,Hermes,gods
24,King Arthur,stone
24,Loki,norse god
24,Medusa,gorgons
24,Odin,legged
24,Paris,trojan
24,Poseidon,greek god
24,Sparta,warlike
24,Thor,god's
24,Venus,roman goddess
25,A Midsummer Night's Dream,fairy
25,Brutus,caesar's
25,Desdemona,moor
25,Goneril,daughters
25,Julius Caesar,march
25,Petruchio,tame
25,Regan,dad
25,Regan,sister
25,Tempest,prospero's
25,Troilus,trojan
26,Agatha Christie,styles
26,Cormac Mc,country
26,Edgar Allan Poe,murders
26,Edith Wharton,age
26,Edith Wharton,houses
26,Henry James,turn
26,James Baldwin,notes
26,James Baldwin,tell
26,John Steinbeck,wrath
26,Jules Verne,earth
26,Little Women,louisa
26,Mark Twain,finn
26,Nobel Prize,win
26,Sherlock Holmes,sleuth
26,Thomas Hardy,novel far
26,Thomas Hardy,obscure
26,Toni Morrison,song
26,Walter Scott,scotsman's
26,War and Peace,pages
26,Willa Cather,death comes
26,World War I,arms
26,World War I,ford's
27,Nintendo,donkey
27,Nintendo,super
27,Pong,table
27,Trivial Pursuit,question
27,Twister,tie
27,Uno,card
28,101 Dalmatians,smith's
28,Beatrix Potter,jeremy
28,Bugs Bunny,cartoons
28,Bugs Bunny,hare
28,Calvin and Hobbes,toy
28,Charlie Bucket,glass
28,Charlie Bucket,great
28,Curious George,hat
28,Curious George,simian
28,Dr. Seuss,wrote
28,Horton,egg
28,Lion King,life
28,Peter Pan,grow
28,The Little Mermaid,hans christian
28,The Little Mermaid,witch
29,Andy Warhol,soup cans
29,Botticelli,birth
29,Edgar Degas,ballerina
29,Edgar Degas,dancer
29,Edouard Manet,grass
29,Edvard Munch,norwegian's
29,Edvard Munch,scandinavian
29,El Greco,spanish
29,Francisco Goya,spanish
29,Georges Seurat,pointillist
29,Georgia O'Keeffe,flower
29,Henri Matisse,decorated
29,Impressionist,edouard
29,Leonardo da Vinci,magi
29,Louvre,wing
29,Peter Paul Rubens,flemish artist
29,Pierre-Auguste Renoir,impression
29,Pierre-Auguste Renoir,impressionist's
29,Raphael,renaissance artist
29,Rembrandt,dr tulp
29,Rembrandt,dutchman
29,Salvador Dal,surreal
29,Salvador Dali,spain
29,Salvador Dali,surreal
29,Vermeer,reading
30,Coast Guard,service
30,Federal Reserve,banks
30,First Amendment,freedom
30,Marines,armed
30,Miranda warning,remain
30,Secret Service,protecting
30,Senate,advice
30,Supreme Court,member
30,Treasury Department,printing
31,Big Bang Theory,cooper
31,Buffy the Vampire Slayer,michelle
31,Dallas,ranch
31,Family Guy,peter
31,Gossip Girl,blake
31,Happy Days,howard
31,House,doc
31,House,hugh
31,I Love Lucy,vivian
31,Mad Men,advertising
31,Mary Tyler Moore Show,ted
31,Mork,colorado
31,Parks and Recreation,ron
33,Ben Affleck,george
33,Cary Grant,archibald
33,George Clooney,good luck
33,Harrison Ford,runner
33,Harrison Ford,solo
33,Jack Nicholson,stars
33,Kevin Costner,dances
33,Knives Out,chris
33,Leonardo DiCaprio,road
33,Matt Damon,good
33,Matt Damon,mr
33,Once Upon a Time in Hollywood,sergio
33,Robin Williams,good
33,Star Wars,help
33,Star Wars,you're
33,The Godfather,offer
33,The Godfather,refuse
33,The Shawshank Redemption,redding
33,Tom Cruise,ethan
33,Will Smith,men
33,Wizard of Oz,margaret
33,Woody Allen,director's
34,Celsius,scales
34,Isaac Newton,law
34,Kelvin,scale named
34,Mars,planets
34,Mercury,planets
34,Mesozoic,periods
34,Mohs scale,measured
34,Venus,degrees fahrenheit
35,California,earl
35,Grover Cleveland,terms
35,Herbert Hoover,engineer
35,Jimmy Carter,peanut
35,Richard Nixon,linda
35,Secretary of State,posts
35,Theodore Roosevelt,party
35,Thomas Jefferson,virginian
35,Ulysses S. Grant,surrender
35,William Howard Taft,teddy
36,Georgetown,washington school
36,Notre Dame,indiana
36,Stanford,california school
36,University of Massachusetts,colony
36,Vassar,sisters colleges
36,West Point,service academy
36,Yale,conn
37,Albert Einstein,physics
37,Albert Einstein,special theory
37,Alexander Graham Bell,phone
37,Copernicus,bodies
37,Edmond Halley,astronomy
37,Edmond Halley,comets
37,Galileo,bodies
37,Isaac Newton,gravitation
37,Ivan Pavlov,reflex
37,James Watt,engines
37,Java,computer
37,Linus Pauling,chemical
37,Linus Pauling,chemistry
37,Louis Pasteur,frenchman
37,Marconi,karl
37,Marconi,radio
37,Marie Curie,daughter
37,Niels Bohr,dane
37,Robert Goddard,launching
37,Samuel Morse,eli
37,Samuel Morse,messages
38,America,trophy
38,Army,military
38,Army,service
38,England,country's
38,France,country's
38,Georgia,colonies
38,Gettysburg,penn battle
38,Pennsylvania,quaker
38,Robert E. Lee,court house
38,Tennessee,davy
38,Thomas Jefferson,statute
38,Ulysses S. Grant,commander
40,Apollo program,lunar
40,Booker T. Washington,educator's
40,Louisiana,earl
40,Miss America,holder
40,Pulitzer Prize,win
40,Richard Nixon,debate
41,Airbus,planes
41,Amtrak,corp
41,Chrysler,auto
41,Chrysler,pt
41,Corvette,america's
41,Delta,airline's
41,Hyundai,korea's
41,Mustang,horse
41,Mustang,sporty
41,Pontiac,indian
41,Porsche,maker
41,Qantas,airline's
41,Spruce Goose,flight
41,Volkswagen,bug
42,Africa,continent's
42,Africa,continents
42,Argentina,south america
42,Australia,beneath
42,Australia,radiant
42,Belgium,walloons
42,Canada,area it's
42,Colombia,south america
42,Indonesia,javanese
42,Iran,persian
42,Iran,reza
42,Mediterranean,body
42,New Zealand,maoris
42,Spain,iberia
43,Adam Smith,nations
43,Adam Smith,theory
43,Benjamin Franklin,poor
43,Confucius,thinker
43,David Hume,human
43,David Hume,nature
43,God,phrase
43,Harry Truman,em
43,Harry Truman,think
43,Harry Truman,truth
43,John Locke,concerning
43,John Locke,essay
43,John Locke,human
43,Kierkegaard,dane
43,London,city
43,Mark Twain,report
43,Napoleon,french
43,Nietzsche,dead
43,Nietzsche,good
43,Plato,greek
43,Richard Nixon,silent
43,Socrates,greek
